[11-Dec-2023 11:32:40 Asia/Calcutta] PHP Fatal error:  Uncaught Error: Undefined constant "LOGIN_UserProfileImage" in C:\xampp\htdocs\reception\include\app\Header.php:20
[11-Dec-2023 15:48:24 Asia/Calcutta] PHP Warning:  Attempt to read property "reception_courier_status" on null in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 42
[11-Dec-2023 15:48:24 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 47
[11-Dec-2023 15:48:24 Asia/Calcutta] PHP Warning:  Attempt to read property "reception_courier_status" on null in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 47
[11-Dec-2023 15:48:29 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 42
[11-Dec-2023 15:48:29 Asia/Calcutta] PHP Warning:  Attempt to read property "reception_courier_status" on null in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 42
[11-Dec-2023 15:48:29 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 47
[11-Dec-2023 15:48:29 Asia/Calcutta] PHP Warning:  Attempt to read property "reception_courier_status" on null in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 47
[11-Dec-2023 15:48:36 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 42
[11-Dec-2023 15:48:36 Asia/Calcutta] PHP Warning:  Attempt to read property "reception_courier_status" on null in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 42
[11-Dec-2023 15:48:36 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 47
[11-Dec-2023 15:48:36 Asia/Calcutta] PHP Warning:  Attempt to read property "reception_courier_status" on null in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 47
[11-Dec-2023 15:48:36 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 42
[11-Dec-2023 15:48:36 Asia/Calcutta] PHP Warning:  Attempt to read property "reception_courier_status" on null in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 42
[11-Dec-2023 15:48:36 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 47
[11-Dec-2023 15:48:36 Asia/Calcutta] PHP Warning:  Attempt to read property "reception_courier_status" on null in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 47
[11-Dec-2023 15:48:38 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 42
[11-Dec-2023 15:48:38 Asia/Calcutta] PHP Warning:  Attempt to read property "reception_courier_status" on null in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 42
[11-Dec-2023 15:48:38 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 47
[11-Dec-2023 15:48:38 Asia/Calcutta] PHP Warning:  Attempt to read property "reception_courier_status" on null in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 47
[11-Dec-2023 15:48:39 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 42
[11-Dec-2023 15:48:39 Asia/Calcutta] PHP Warning:  Attempt to read property "reception_courier_status" on null in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 42
[11-Dec-2023 15:48:39 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 47
[11-Dec-2023 15:48:39 Asia/Calcutta] PHP Warning:  Attempt to read property "reception_courier_status" on null in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 47
[11-Dec-2023 15:48:40 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 42
[11-Dec-2023 15:48:40 Asia/Calcutta] PHP Warning:  Attempt to read property "reception_courier_status" on null in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 42
[11-Dec-2023 15:48:40 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 47
[11-Dec-2023 15:48:40 Asia/Calcutta] PHP Warning:  Attempt to read property "reception_courier_status" on null in C:\xampp\htdocs\reception\include\forms\VisitorAddPopWindow.php on line 47
[11-Dec-2023 16:34:01 Asia/Calcutta] PHP Warning:  include(../../include/forms/projectPopWindow.php.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\reception\app\project\index.php on line 390
[11-Dec-2023 16:34:01 Asia/Calcutta] PHP Warning:  include(): Failed opening '../../include/forms/projectPopWindow.php.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\reception\app\project\index.php on line 390
[11-Dec-2023 16:34:48 Asia/Calcutta] PHP Warning:  include(../../include/forms/projectPopWindow.php.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\reception\app\project\index.php on line 390
[11-Dec-2023 16:34:48 Asia/Calcutta] PHP Warning:  include(): Failed opening '../../include/forms/projectPopWindow.php.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\reception\app\project\index.php on line 390
[11-Dec-2023 16:34:51 Asia/Calcutta] PHP Warning:  include(../../include/forms/projectPopWindow.php.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\reception\app\project\index.php on line 390
[11-Dec-2023 16:34:51 Asia/Calcutta] PHP Warning:  include(): Failed opening '../../include/forms/projectPopWindow.php.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\reception\app\project\index.php on line 390
[11-Dec-2023 16:36:52 Asia/Calcutta] PHP Warning:  include(../../include/forms/projectPopWindow.php.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\reception\app\project\index.php on line 390
[11-Dec-2023 16:36:52 Asia/Calcutta] PHP Warning:  include(): Failed opening '../../include/forms/projectPopWindow.php.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\reception\app\project\index.php on line 390
[11-Dec-2023 16:39:25 Asia/Calcutta] PHP Warning:  include(../../include/forms/projectPopWindow.php.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\reception\app\project\index.php on line 390
[11-Dec-2023 16:39:25 Asia/Calcutta] PHP Warning:  include(): Failed opening '../../include/forms/projectPopWindow.php.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\reception\app\project\index.php on line 390
